speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L17285264,"1711270, La Serena CL-Regione di Coquimbo -29.89914, -71.27097",2022-01-01 19:35,1.0,-29.899139,-71.270972,True,False,True,S99876937
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L17285264,"1711270, La Serena CL-Regione di Coquimbo -29.89914, -71.27097",2022-01-02 20:45,2.0,-29.899139,-71.270972,True,False,True,S99980322
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L17444141,Base de Las Torres,2022-01-02 04:00,5.0,-50.914148,-72.9662553,True,False,True,S100809770
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L13297147,Río Alerce--Cascada Llanada Grande,2022-01-03 12:44,4.0,-41.871237,-71.920478,True,False,False,S100063840
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L6511037,SN Humedal Angachilla--Puente Angachilla,2022-01-03 12:36,11.0,-39.8665336,-73.2387257,True,False,False,S100101766
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L9860617,Llanquihue--Humedal Baquedano,2022-01-04 21:47,1.0,-41.2502783,-73.0088922,True,False,False,S100131688
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L1259323,PN Torres del Paine--Trek a mirador Torres del Paine,2022-01-04 08:13,2.0,-50.9522225,-72.9245854,True,False,False,S100992257
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L17401377,Isla Teja--Humedal Sur,2022-01-05 20:30,1.0,-39.8202614,-73.2580601,True,False,False,S100197285
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L1030753,PN Torres del Paine--Lago Grey (sector sur),2022-01-05 08:46,2.0,-51.1165104,-73.122983,True,False,False,S101584897
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L6552363,Aeropuerto La Araucanía (ZCO),2022-01-06 19:44,1.0,-38.9268483,-72.6468265,True,False,False,S100248448
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L571417,Lago Colbún,2022-01-07 19:30,2.0,-35.718643,-71.209259,True,False,False,S100487381
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L6517732,"Huitag, Lago Calafquén",2022-01-08 21:07,3.0,-39.5169318,-72.2751638,True,False,True,S100394201
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L17443772,"Sendero Volcán Casablanca, Los Lagos, CL (-40.771, -72.172)",2022-01-08 15:26,1.0,-40.7711169,-72.1715178,True,False,True,S100805036
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L17385605,"San Martín, Valdivia, Los Ríos, CL (-39.836, -73.229)",2022-01-09 20:11,1.0,-39.8359283,-73.2285022,True,False,True,S100464468
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L17038301,"Llanquihue, Los Lagos, CL (-41,249, -73,008)",2022-01-10 15:41,1.0,-41.2492688,-73.0079324,True,False,True,S100503895
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L13215737,Humedal Fundo El Carmen,2022-01-11 19:30,1.0,-38.7144093,-72.6660533,True,False,False,S100576899
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L17431704,"Estero Tregualemu, Pullay",2022-01-12 21:02,2.0,-36.011239,-72.775117,True,False,True,S100739602
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L17422057,"Costanera, Panguipulli CL-Los Ríos -39.64361, -72.32455",2022-01-13 21:31,3.0,-39.643607,-72.324547,True,False,True,S100683773
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L2949799,Puyuhuapi--Costanera,2022-01-13 16:00,2.0,-44.3262888,-72.5593919,True,False,False,S100670265
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L16435812,Humedal Playa Negra Cosmito,2022-01-14 17:00,4.0,-36.7470596,-73.0141961,True,False,False,S100792696
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L13069589,Cabo Blanco,2022-01-15 19:31,5.0,-39.797137,-73.249302,True,False,True,S100810896
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L632248,Punta Choros,2022-01-15 18:12,1.0,-29.2519574,-71.4530182,True,True,False,S100806930
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L1006764,Humedal Ojos de Mar,2022-01-16 17:38,1.0,-33.6068636,-71.6231185,True,False,False,S100906951
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L18382825,PN Yendegaia--Caleta 2 de Mayo,2022-01-16 06:00,2.0,-54.8659818,-68.6831901,True,False,False,S106330790
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L976634,Cabo Blanco,2022-01-17 19:38,11.0,-39.7884884,-73.2486405,True,False,False,S100957138
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L17477882,"Lomas de Mantagua Sur, Quintero, Valparaíso, CL (-32.846, -71.478)",2022-01-18 17:52,1.0,-32.8462248,-71.4783689,True,False,True,S101004025
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L12610513,"550, Puerto Montt CL-Los Lagos -41.49764, -72.81839",2022-01-19 20:18,1.0,-41.497642,-72.818392,True,False,True,S101058705
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L6517732,"Huitag, Lago Calafquén",2022-01-20 20:21,,-39.5169318,-72.2751638,True,False,True,S101524623
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L1259323,PN Torres del Paine--Trek a mirador Torres del Paine,2022-01-20 11:38,1.0,-50.9522225,-72.9245854,True,False,False,S101183782
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L17372648,katriko,2022-01-21 19:55,1.0,-39.8362656,-73.228241,True,False,True,S101164537
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L17953110,"Cerro Condores, Araucanía, CL (-38,994, -71,645)",2022-01-21 13:03,1.0,-38.9940583,-71.6450283,True,False,True,S103881302
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L13502436,Puerto Varas--Humedal Industrial,2022-01-22 19:32,3.0,-41.370984,-72.983069,True,False,False,S101240176
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L25946711,Cerro Benítez,2022-01-22 10:30,1.0,-51.5484619,-72.5895848,True,False,True,S144602885
